minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
1450,0.0301,0.1598,250,2.9826,0.0268,0.1218,250,3.4838
1451,0.0181,0.1579,250,1.8148,0.0255,0.135,250,2.9873
1452,0.026,0.1595,250,2.5747,0.0278,0.1432,250,3.0739
1453,0.0116,0.1531,250,1.1947,0.015,0.1392,250,1.7059
1454,0.0029,0.1533,250,0.3019,0.0124,0.1474,250,1.3304
1455,0.0118,0.162,250,1.1493,0.0171,0.1479,250,1.8265
1456,0.0053,0.1674,250,0.502,0.0189,0.1468,250,2.0339
1457,0.0105,0.17,250,0.9798,0.0247,0.156,250,2.5068
1458,0.0129,0.1608,250,1.2651,0.031,0.1429,250,3.4337
1459,0.0142,0.1732,250,1.2946,0.0279,0.1502,250,2.9374
1500,0.0223,0.1712,250,2.0616,0.032,0.1423,250,3.5513
1501,0.0093,0.1632,250,0.9023,0.0197,0.134,250,2.322
1502,0.0264,0.1494,250,2.7949,0.0372,0.1246,250,4.7177
1503,0.0277,0.1673,250,2.6203,0.0282,0.1338,250,3.331
1504,0.0248,0.1657,250,2.3651,0.0268,0.1368,250,3.0972
1505,0.0208,0.1588,250,2.0729,0.0276,0.1312,250,3.3289
1506,0.0296,0.1545,250,3.029,0.0293,0.1251,250,3.6968
1507,0.0055,0.1511,250,0.5724,0.011,0.1245,250,1.3918
1508,0.0,0.1542,250,0.0027,0.0045,0.13,250,0.542
1509,0.0051,0.1563,250,0.5193,0.013,0.1307,250,1.5685
1510,-0.0084,0.1471,250,-0.8985,-0.0036,0.1205,250,-0.468
1511,0.0028,0.1709,250,0.2556,0.0083,0.1419,250,0.93
1512,0.0032,0.1602,250,0.3112,0.0071,0.1439,250,0.7819
1513,0.0087,0.1595,250,0.8597,0.0136,0.1403,250,1.5343
1514,0.0056,0.1685,250,0.5215,0.0127,0.1418,250,1.4128
1515,-0.0085,0.1599,250,-0.8361,0.0001,0.1342,250,0.017
1516,-0.0056,0.166,250,-0.5347,0.0085,0.1356,250,0.9884
1517,0.0017,0.1761,250,0.1527,0.0052,0.142,250,0.5742
1518,-0.0145,0.1864,250,-1.2304,-0.0045,0.1505,250,-0.4751
1519,-0.0173,0.177,250,-1.5454,-0.0063,0.1426,250,-0.7018
1520,-0.0117,0.1664,250,-1.1108,0.0031,0.1329,250,0.3691
1521,-0.0002,0.1673,250,-0.0155,0.0152,0.1364,250,1.7631
1522,0.0074,0.1667,250,0.7011,0.0105,0.1339,250,1.2413
1523,0.0071,0.1645,250,0.685,0.0069,0.1263,250,0.8665
1524,-0.0022,0.1688,250,-0.2035,0.0037,0.1253,250,0.4627
1525,0.0063,0.1695,250,0.5906,0.014,0.1277,250,1.7309
1526,0.0113,0.1669,250,1.0701,0.0162,0.1342,250,1.9136
1527,0.0019,0.1613,250,0.1866,0.0095,0.1369,250,1.0946
1528,0.0025,0.1612,250,0.2496,0.01,0.1371,250,1.1516
1529,0.0002,0.1743,250,0.0223,0.0071,0.1445,250,0.7788
1530,-0.0124,0.1559,250,-1.2625,-0.0021,0.1373,250,-0.2435
1531,0.0066,0.1534,250,0.6791,0.0161,0.1251,250,2.0314
1532,-0.0004,0.1425,250,-0.0468,0.0155,0.1171,250,2.0903
1533,0.0044,0.1386,250,0.5025,0.0144,0.1152,250,1.9759
1534,0.0092,0.149,250,0.972,0.0188,0.1289,250,2.3106
1535,0.0222,0.1584,250,2.2153,0.0272,0.1357,250,3.1682
1536,0.0237,0.1525,250,2.4597,0.027,0.1215,250,3.5114
1537,0.0191,0.1508,250,2.0062,0.0301,0.1183,250,4.0217
1538,0.0239,0.1442,250,2.6184,0.0302,0.1236,250,3.8597
1539,0.0244,0.1491,250,2.5897,0.0304,0.1338,250,3.586
1540,0.0225,0.1396,250,2.5453,0.0272,0.1218,250,3.5301
1541,0.0177,0.1438,250,1.9497,0.0155,0.121,250,2.0215
1542,0.0204,0.1504,250,2.1476,0.0239,0.12,250,3.1556
1543,0.0131,0.1399,250,1.4769,0.0186,0.1139,250,2.5764
1544,0.0165,0.147,250,1.7702,0.0212,0.1153,250,2.9144
1545,0.0008,0.1384,250,0.0884,0.0084,0.1086,250,1.2294
1546,0.019,0.1444,250,2.0763,0.019,0.1266,250,2.3758
1547,0.0131,0.1238,250,1.6748,0.0116,0.0975,250,1.8792
1548,0.0194,0.1209,250,2.5359,0.0236,0.1074,250,3.4826
1549,0.0379,0.151,250,3.966,0.0436,0.1248,250,5.5295
1550,-0.0234,0.5989,159,-0.4923,-0.0422,0.5939,159,-0.896
