minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
1208,0.0099,0.0503,250,3.1279,0.0108,0.0537,250,3.17
1209,0.0078,0.0499,250,2.4836,0.0087,0.0532,250,2.5987
1210,0.0098,0.0518,250,2.9923,0.0112,0.0562,250,3.1562
1211,0.009,0.0511,250,2.7883,0.0082,0.055,250,2.3531
1212,0.008,0.0519,250,2.4525,0.0076,0.0558,250,2.1498
1213,0.0119,0.0498,250,3.7853,0.0132,0.0552,250,3.7829
1214,0.0054,0.0472,250,1.808,0.0073,0.0514,250,2.2437
1215,0.0102,0.0495,250,3.2476,0.0111,0.0533,250,3.2958
1216,0.0078,0.0563,250,2.1978,0.011,0.0611,250,2.8518
1217,0.0031,0.051,250,0.952,0.0033,0.0584,250,0.8966
1218,0.0032,0.049,250,1.0278,0.0044,0.0554,250,1.2534
1219,0.0042,0.0502,250,1.325,0.008,0.0544,250,2.3272
1220,0.0072,0.0531,250,2.1309,0.0101,0.0594,250,2.6918
1221,0.0066,0.059,250,1.7799,0.01,0.0599,250,2.6353
1222,0.0086,0.0485,250,2.8192,0.0106,0.0538,250,3.1321
1223,0.0079,0.0472,250,2.6447,0.009,0.0536,250,2.648
1224,0.0061,0.048,250,2.0008,0.006,0.0499,250,1.8961
1225,0.0028,0.0492,250,0.9086,0.0002,0.0567,250,0.0614
1226,0.0053,0.049,250,1.7226,0.002,0.0558,250,0.5638
1227,0.0071,0.0475,250,2.3615,0.0042,0.0546,250,1.2207
1228,0.0078,0.0461,250,2.67,0.0059,0.0499,250,1.8771
1229,0.0045,0.052,250,1.3773,0.0048,0.0563,250,1.3567
1230,0.006,0.0482,250,1.9658,0.0107,0.0546,250,3.0963
1231,0.0038,0.0552,250,1.0904,0.0078,0.0574,250,2.1579
1232,0.0024,0.0529,250,0.7127,0.0036,0.0575,250,0.9928
1233,0.006,0.0497,250,1.9156,0.0061,0.0535,250,1.7956
1234,0.0068,0.0503,250,2.1472,0.0083,0.0568,250,2.3195
1235,0.0061,0.0497,250,1.9498,0.0069,0.0558,250,1.9541
1236,0.0105,0.0475,250,3.507,0.0137,0.0504,250,4.2989
1237,0.0145,0.053,250,4.3226,0.0191,0.0551,250,5.4722
1238,0.0128,0.0516,250,3.9336,0.0133,0.0583,250,3.61
1239,0.0084,0.0508,250,2.6015,0.0089,0.0583,250,2.4277
1240,0.0057,0.0552,250,1.6309,0.0079,0.0604,250,2.0652
1241,0.0054,0.0553,250,1.5423,0.0059,0.0577,250,1.6056
1242,0.0098,0.0478,250,3.2424,0.0089,0.0555,250,2.5473
1243,0.0042,0.0476,250,1.3816,0.0068,0.0541,250,1.991
1244,0.012,0.0526,250,3.6078,0.016,0.0583,250,4.3538
1245,0.0091,0.0489,250,2.9521,0.0097,0.0523,250,2.9488
1246,0.0065,0.0485,250,2.1048,0.0085,0.0556,250,2.4091
1247,0.0064,0.0492,250,2.0652,0.009,0.0582,250,2.4369
1248,0.0082,0.0523,250,2.4871,0.0096,0.0594,250,2.5536
1249,0.0111,0.0466,250,3.7842,0.0128,0.0513,250,3.9289
1250,0.0144,0.0533,250,4.2655,0.0099,0.0622,250,2.5244
1251,0.0101,0.0532,250,2.997,0.0104,0.0565,250,2.9107
1252,0.011,0.0534,250,3.2465,0.0119,0.0553,250,3.3915
1253,0.0016,0.0484,250,0.526,0.0015,0.0552,250,0.4203
1254,0.0038,0.0482,250,1.2612,0.0014,0.0525,250,0.4321
1255,0.0036,0.0504,250,1.1372,0.0011,0.0519,250,0.3292
1256,0.0021,0.0503,250,0.6594,0.0043,0.0585,250,1.1525
1257,0.0037,0.0508,250,1.1432,0.0081,0.0544,250,2.3555
1258,0.0035,0.0495,250,1.1302,0.0048,0.0566,250,1.333
1259,0.0092,0.0493,250,2.9502,0.0058,0.0529,250,1.7403
1300,0.0067,0.0511,250,2.079,0.0087,0.0552,250,2.4859
1301,0.0017,0.0551,250,0.489,0.0009,0.0626,250,0.2319
1302,0.006,0.05,250,1.8862,0.0083,0.0572,250,2.2963
1303,0.0106,0.0495,250,3.3799,0.0117,0.0608,250,3.0387
1304,0.0108,0.0515,250,3.3119,0.0087,0.0568,250,2.4102
1305,0.0102,0.0501,250,3.2068,0.0103,0.0523,250,3.1149
1306,0.01,0.0519,250,3.0599,0.0104,0.0534,250,3.0743
1307,0.0136,0.0518,250,4.1527,0.0106,0.0556,250,3.0222
1308,0.0099,0.0509,250,3.0728,0.0126,0.0567,250,3.5092
1309,0.0096,0.0455,250,3.3435,0.0096,0.0527,250,2.8725
1310,0.0093,0.0496,250,2.9681,0.0083,0.0544,250,2.4261
1311,0.0074,0.0487,250,2.3867,0.0077,0.0553,250,2.2122
1312,0.0021,0.0521,250,0.6436,0.0051,0.0567,250,1.4164
1313,0.0113,0.0516,250,3.4548,0.0112,0.0555,250,3.1841
1314,0.0087,0.0506,250,2.7133,0.0095,0.0554,250,2.7178
1315,0.0105,0.0531,250,3.1436,0.0095,0.0575,250,2.6249
1316,0.0112,0.0509,250,3.4767,0.0103,0.0589,250,2.7701
1317,0.0091,0.0536,250,2.6793,0.0061,0.0583,250,1.6569
1318,0.0066,0.0548,250,1.9141,0.0065,0.0637,250,1.6093
1319,0.0104,0.0532,250,3.0894,0.0118,0.0581,250,3.2184
1320,0.0112,0.0567,250,3.1291,0.0124,0.0587,250,3.336
1321,0.0054,0.0506,250,1.685,0.0059,0.0519,250,1.8093
1322,0.0078,0.0521,250,2.3617,0.0039,0.0548,250,1.1152
1323,0.0027,0.0552,250,0.7728,0.0018,0.0586,250,0.4927
1324,0.0055,0.0481,250,1.7989,0.0059,0.0552,250,1.6828
1325,0.0067,0.0525,250,2.025,0.0078,0.0616,250,1.9997
1326,0.0083,0.0515,250,2.5459,0.0052,0.0518,250,1.601
1327,0.0109,0.0513,250,3.3668,0.0116,0.0553,250,3.3099
1328,0.0046,0.0516,250,1.3981,0.0072,0.0557,250,2.0455
1329,0.0048,0.0464,250,1.6182,0.0053,0.05,250,1.6678
1330,0.0148,0.0515,250,4.5355,0.0145,0.0546,250,4.1931
1331,0.0123,0.052,250,3.7281,0.0166,0.0583,250,4.512
1332,0.0105,0.0483,250,3.4524,0.0124,0.0533,250,3.6782
1333,0.0111,0.054,250,3.2459,0.0155,0.0586,250,4.1959
1334,0.0159,0.0501,250,5.0143,0.0168,0.0568,250,4.6765
1335,0.0132,0.0563,250,3.7011,0.0113,0.0593,250,3.0077
1336,0.013,0.0538,250,3.818,0.0175,0.0578,250,4.7742
1337,0.0082,0.0537,250,2.4163,0.0081,0.0596,250,2.1618
1338,0.0152,0.0524,250,4.59,0.0137,0.0621,250,3.4938
1339,0.0157,0.0516,250,4.8171,0.0154,0.0564,250,4.3106
1340,0.0105,0.0484,250,3.4326,0.0119,0.0551,250,3.4152
1341,0.0069,0.0508,250,2.1367,0.009,0.0573,250,2.4742
1342,0.0051,0.0473,250,1.7143,0.006,0.0549,250,1.7179
1343,0.0089,0.0478,250,2.945,0.0092,0.0526,250,2.766
1344,0.0097,0.0496,250,3.094,0.0097,0.0542,250,2.8436
1345,0.0044,0.0592,250,1.1753,0.0068,0.0542,250,1.9844
1346,0.0045,0.0535,250,1.3429,0.0045,0.0556,250,1.2912
1347,0.003,0.0486,250,0.9661,0.0021,0.0523,250,0.6306
1348,0.0018,0.0505,250,0.5582,0.0002,0.056,250,0.0694
1349,0.0075,0.0518,250,2.2738,0.0033,0.0553,250,0.9339
1350,0.0047,0.0535,250,1.4007,0.0079,0.0587,250,2.1209
1351,0.0053,0.0482,250,1.7454,-0.0002,0.0564,250,-0.0526
1352,0.0083,0.0485,250,2.721,0.0082,0.059,250,2.2007
1353,0.0018,0.0548,250,0.5081,0.002,0.0544,250,0.5744
1354,0.0048,0.0581,250,1.3111,0.0041,0.0627,250,1.0299
1355,0.0101,0.0575,250,2.7701,0.0063,0.0659,250,1.5048
1356,0.0046,0.0533,250,1.375,0.003,0.0567,250,0.8317
1357,0.0058,0.0503,250,1.8152,0.0085,0.0527,250,2.5463
1358,0.006,0.053,250,1.7923,0.008,0.0584,250,2.1801
1359,0.0134,0.0519,250,4.077,0.016,0.0594,250,4.2706
1400,0.007,0.0492,250,2.2402,0.0105,0.0584,250,2.8515
1401,0.0098,0.0491,250,3.1519,0.0138,0.0514,250,4.2368
1402,0.0071,0.0504,250,2.2157,0.009,0.0572,250,2.4818
1403,-0.0015,0.0552,250,-0.4256,0.0021,0.0621,250,0.5424
1404,0.0035,0.054,250,1.0379,0.0045,0.0551,250,1.295
1405,0.0055,0.0548,250,1.5858,0.0072,0.0618,250,1.8333
1406,0.0115,0.0542,250,3.3536,0.0135,0.063,250,3.3964
1407,0.0114,0.0536,250,3.3561,0.0173,0.064,250,4.2606
1408,0.0094,0.0558,250,2.6561,0.0106,0.0605,250,2.7745
1409,0.0092,0.0545,250,2.6626,0.0115,0.0569,250,3.2093
1410,0.0069,0.0538,250,2.0157,0.0093,0.0569,250,2.5832
1411,0.0079,0.0552,250,2.2563,0.0132,0.0622,250,3.3455
1412,0.0083,0.058,250,2.257,0.0148,0.0634,250,3.7006
1413,0.0069,0.0523,250,2.0773,0.0054,0.0578,250,1.4694
1414,0.0057,0.0505,250,1.782,0.0072,0.0544,250,2.0893
1415,0.0093,0.0517,250,2.8479,0.0104,0.0587,250,2.7983
1416,0.0131,0.0582,250,3.5654,0.0138,0.0601,250,3.6263
1417,0.0106,0.0598,250,2.7948,0.0127,0.0551,250,3.647
1418,0.0078,0.0533,250,2.3054,0.0126,0.0603,250,3.3146
1419,0.0086,0.0511,250,2.6596,0.0118,0.0549,250,3.4128
1420,0.0107,0.0511,250,3.3167,0.0129,0.0586,250,3.4901
1421,0.0096,0.056,250,2.7064,0.0092,0.0569,250,2.5551
1422,0.0018,0.0529,250,0.5263,0.0033,0.0573,250,0.9099
1423,0.0071,0.0555,250,2.0321,0.0082,0.0619,250,2.0844
1424,0.0091,0.0479,250,3.0043,0.0083,0.0612,250,2.1359
1425,0.0053,0.0542,250,1.5385,0.0087,0.0559,250,2.453
1426,0.0059,0.057,250,1.6431,0.0055,0.0611,250,1.4212
1427,0.0049,0.0586,250,1.3202,0.0012,0.0541,250,0.3543
1428,-0.0007,0.0584,250,-0.181,0.0007,0.0652,250,0.1759
1429,0.007,0.0509,250,2.1646,0.0042,0.0577,250,1.1474
1430,0.0099,0.0539,250,2.9179,0.0125,0.0557,250,3.5474
1431,0.0064,0.0509,250,1.9767,0.0071,0.0583,250,1.9116
1432,0.0048,0.0496,250,1.5163,0.0061,0.0552,250,1.7343
1433,0.0082,0.0493,250,2.6269,0.0068,0.0547,250,1.963
1434,0.0076,0.0529,250,2.2817,0.0115,0.0612,250,2.9586
1435,0.0122,0.0478,250,4.0353,0.0147,0.0602,250,3.8685
